Date,Open,High,Low,Close,Adj Close,Volume
2017-07-07,87.650002,88.099998,87.400002,87.959999,82.767342,2918100
2017-07-10,87.860001,88.000000,87.050003,87.199997,82.052208,3062100
2017-07-11,87.050003,87.410004,86.680000,87.260002,82.108665,2792900
2017-07-12,87.750000,88.250000,87.400002,87.809998,82.626167,2128400
2017-07-13,87.930000,88.000000,87.300003,87.809998,82.626167,2306300
2017-07-14,87.809998,88.820000,87.660004,88.570000,83.341316,2257800
2017-07-17,88.570000,88.790001,85.839996,86.059998,80.979500,9555300
2017-07-18,86.000000,86.430000,85.779999,85.849998,80.781883,5505700
2017-07-19,85.980003,86.139999,85.459999,85.650002,80.593697,4597000
2017-07-20,85.910004,86.089996,85.510002,85.669998,80.612526,4381500
2017-07-21,85.669998,85.949997,84.940002,85.169998,80.142036,3523200
2017-07-24,85.209999,85.309998,84.709999,85.089996,80.066757,4096000
2017-07-25,85.400002,86.010002,85.029999,85.930000,80.857178,5256300
2017-07-26,85.820000,86.279999,85.389999,85.739998,80.678398,3331600
2017-07-27,85.860001,85.860001,84.330002,84.680000,79.680969,5244900
2017-07-28,84.570000,84.809998,84.169998,84.290001,79.313988,4550800
2017-07-31,84.500000,84.680000,83.919998,83.970001,79.012886,5452200
2017-08-01,84.110001,84.379997,83.489998,83.519997,78.589432,5356100
2017-08-02,83.519997,83.610001,82.980003,83.199997,78.288322,4909500
2017-08-03,82.959999,83.489998,82.830002,83.290001,78.373032,5944300
2017-08-04,83.540001,83.959999,83.230003,83.680000,78.739990,3414700
2017-08-07,83.769997,84.550003,83.699997,84.370003,79.389267,3647600
2017-08-08,84.290001,84.529999,83.669998,83.830002,78.881142,3825300
2017-08-09,83.750000,84.019997,83.510002,83.949997,78.994049,3519300
2017-08-10,83.580002,83.860001,83.019997,83.040001,78.137779,3495800
2017-08-11,83.320000,84.239998,83.089996,83.709999,78.768234,4302200
2017-08-14,84.050003,85.070000,84.050003,84.470001,79.483353,3346800
